networkmanager-openvpn 1.8.10-1
ngrep 1.47-1
nm-connection-editor 1.8.21dev+3+gb4c365b1-1
nmap 7.70-3
nmon 16j-1
node-gyp 3.8.0-1
nodejs 11.14.0-1
notepadqq 1.4.8-2
noto-fonts 20190111-1
npm 6.9.0-1
npth 1.6-1
nspr 4.21-1
nss 3.43-1
numactl 2.0.12-1
openal 1.19.1-2
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openmpi 4.0.1-1
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.b-1
openssl-1.0 1.0.2.r-1
openvpn 2.4.7-1
opus 1.3-1
orc 0.4.28-1
orca 3.32.0-1
osinfo-db 20190304-1
p11-kit 0.23.15-1
p7zip 16.02-5
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20190109-1
pakku 0.13-2
pakku-gui 0.2.0-2
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.43.0-2
pangomm 2.42.0-1
parted 3.2-8
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.32-2
pcsclite 1.8.25-1
perl 5.28.1-1
perl-error 0.17027-1
perl-mailtools 2.20-2
perl-timedate 2.30-5
pinentry 1.1.0-4
pipewire 0.2.5+3+g371da358-1
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.1-1
polkit 0.115+24+g5230646-1
poppler 0.75.0-1
poppler-glib 0.75.0-1
popt 1.16-10
powertop 2.10-1
procps-ng 3.3.15-1
protobuf 3.7.0-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pygobject-devel 3.32.0-1
python 3.7.3-1
python-appdirs 1.4.3-2
python-atspi 2.32.1-1
python-cachecontrol 0.12.5-4
python-chardet 3.0.4-2
python-colorama 0.4.1-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distlib 0.2.8-1
python-distro 1.4.0-1
python-gobject 3.32.0-1
python-html5lib 1.0.1-3
python-idna 2.8-1
python-lockfile 0.12.2-4
python-msgpack 0.6.1-1
python-nautilus 1.2.2-3
python-packaging 19.0-1
python-pep517 0.5.0-1
python-pip 19.0.3-1
python-progress 1.5-1
python-pyparsing 2.3.1-1
python-pytoml 0.1.20-1
python-pyudev 0.21.0-5
python-requests 2.21.0-1
python-retrying 1.3.3-4
python-setuptools 1:40.9.0-1
python-six 1.12.0-1
python-urllib3 1.24.1-2
python-webencodings 0.5.1-2
python-xdg 0.26-2
python2 2.7.16-1
python2-cairo 1.18.0-1
python2-dbus 1.2.8-2
python2-gobject 3.32.0-1
python2-psutil 5.6.1-1
python2-xdg 0.26-2
qt5-base 5.12.2-2
qt5-charts 5.12.2-1
qt5-declarative 5.12.2-1
qt5-graphicaleffects 5.12.2-1
qt5-location 5.12.2-2
qt5-quickcontrols 5.12.2-1
qt5-sensors 5.12.2-1
qt5-svg 5.12.2-1
qt5-webchannel 5.12.2-1
qt5-webkit 5.212.0alpha2-26
qt5-x11extras 5.12.2-1
re2 20190401-1
readline 8.0.0-1
reiserfsprogs 3.6.27-2
remmina 1:1.3.4-1
rest 0.8.1-1
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-4
run-parts 4.8.6.1-1
runc 1.0.0rc7-1
rygel 0.38.0-1
s-nail 14.9.13-2
sbc 1.4-1
sdl 1.2.15-10
sdl2 2.0.9-1
sed 4.7-1
semver 5.6.0-1
shaderc 2018.0-3
shadow 4.6-2
shared-color-targets 0.1.7-2
shared-mime-info 1.12-1
slang 2.3.2-1
smbclient 4.10.2-1
snappy 1.1.7-1
solaar 0.9.2-12
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
speech-dispatcher 0.9.0-1
speex 1.2.0-2
speexdsp 1.2rc3-4
spirv-tools 2018.5-1
sqlite 3.27.2-1
srt 1.3.2-1
startup-notification 0.12-6
sudo 1.8.27-1
sysfsutils 2.1.0-10
systemd 241.93-1
systemd-libs 241.93-1
systemd-sysvcompat 241.93-1
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
tcl 8.6.9-2
tdb 1.3.18-2
telepathy-glib 0.24.1-2
terminator 1.91-6
tevent 1:0.9.39-2
texinfo 6.6-1
thin-provisioning-tools 0.7.6-1
timeshift 19.01-2
tlp 1.2.1-1
totem 3.32.0-1
totem-plparser 3.26.3-1
tracker 2.2.1-2
tracker-miners 2.2.1-2
tslib 1.19-1
ttf-anonymous-pro 1.003-4
ttf-baekmuk 2.2-11
ttf-bitstream-vera 1.10-12
ttf-cormorant 3.601-1
ttf-croscore 20190111-1
ttf-dejavu 2.37-2
ttf-droid 20121017-6
ttf-gentium 1.03-5
ttf-liberation 2.00.5-1
ttf-ms-fonts 2.0-10
ttf-opensans 1.101-1
ttf-roboto 2.138-1
ttf-sazanami 20040629-10
ttf-ubuntu-font-family 0.83-4
tusk 0.22.0-1
twolame 0.3.13-8
tzdata 2019a-1
udisks2 2.8.2-1
unrar 1:5.7.4-1
unzip 6.0-13
upower 0.99.10-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.33.2-1
v4l-utils 1.16.3-1
vi 1:070224-3
vid.stab 1.1-2
vino 3.22.0+60+gd29a4f2-1
vlc 3.0.6-11
vmware-keymaps 1.0-1
vmware-workstation 15.0.4-1
volume_key 0.3.11-2
vte-common 0.56.1-1
vte3 0.56.1-1
vulkan-icd-loader 1.1.101-1
vulscan 2.0-3
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.17-1
wd719x-firmware 1-4
webkit2gtk 2.24.1-1
webrtc-audio-processing 0.3.1-1
